Type,Title,Summary,Author,Publication Date
Article,The genomes of all lungfish inform on genome expansion and tetrapod evolution,"We find that massive genome expansion seems to be related to a reduction of PIWI-interacting RNAs and C2H2 zinc-finger and KRAB-domain protein genes that suppress transposable element expansion, and lungfish chromosomes still conservatively reflect the ur-tetrapod karyotype.","Manfred Schartl, Joost M. Woltering, Axel Meyer",14-Aug-24
Article,The genomic basis of childhood T-lineage acute lymphoblastic leukaemia,"Comprehensive genomic and transcriptomics analyses of more than 1,300 cases of childhood T-lineage acute lymphoblastic leukaemia identify 15 distinct subtypes that are associated with specific outcomes.","Petri Pölönen, Danika Di Giacomo, David T. Teachey",14-Aug-24
Article,Structural basis for transthiolation intermediates in the ubiquitin pathway,"Structural analyses of analogues of stable ubiquitin transthiolation intermediates with E1, E2 and E3 enzymes reveal a population of intermediate states that provide insights into the directional transfer of ubiquitin between E1, E2 and E3.","Tomasz Kochańczyk, Zachary S. Hann, Christopher D. Lima",14-Aug-24
Article,Black holes regulate cool gas accretion in massive galaxies,Supermassive black holes regulate the amount of atomic hydrogen in galaxies and the atomic hydrogen gas mass to stellar masses ratio is more strongly correlated with black hole masses.,"Tao Wang, Ke Xu, Kai Wang",14-Aug-24
News,How a trove of cancer genomes could improve kids’ leukaemia treatment,"Analysis shows that a type of fast-growing paediatric cancer has 15 distinct subtypes, each linked to responsiveness to particular therapies.",Giorgia Guglielmi,14-Aug-24
News,Has your paper been used to train an AI model? Almost certainly,Artificial-intelligence developers are buying access to valuable data sets that contain research papers — raising uncomfortable questions about copyright.,Elizabeth Gibney,14-Aug-24
News,What is the hottest temperature humans can survive? These labs are redefining the limit,The threshold for survival in heat is lower than thought — researchers are using state-of-the-art climate chambers to explore when blistering conditions threaten life.,Carissa Wong,14-Aug-24
Research Briefing,A virtual rat tests theories of motor control,How the brain controls complex movements has been a mystery. Advances in artificial intelligence now make it possible to simulate this process in virtual animals. Comparing activations in artificial control networks with brain activity in real animals enables long-standing theories of motor control at the level of neural circuits to be probed.,"N, /, A",14-Aug-24
Research Briefing,How nitrogen compounds in fertilizers and fossil-fuel emissions affect global warming,"Human activities have led to high levels of nitrogen compounds entering the environment, causing air and ecosystem pollution. Comprehensive modelling now shows that this nitrogen has partly offset global warming — suggesting that efforts to reduce environmental nitrogen levels must be backed up with even greater efforts to mitigate climate change.","N, /, A",14-Aug-24
News & Views,Innovative way to break chemical bonds broadens horizons for making molecules,"A fresh approach to breaking chemical bonds combines the energy of heat and light, and could drive previously inaccessible chemical reactions — opening up synthetic routes to compounds that have not yet been made.","Hannah J. Sayre, Harsh Bhatia",14-Aug-24
News Feature,Geology’s biggest mystery: when did plate tectonics start to reshape Earth?,Researchers have spent decades hunting for clues about the origins of the process that moves the continents around. Its deep history is finally starting to come into focus.,Michael Marshall,14-Aug-24
Career Column,Chatbots in science: What can ChatGPT do for you?,"Milton Pividori spent a year and a half studying how best to use ChatGPT in research. Here, he highlights three key lessons.",Milton Pividori,14-Aug-24
News,One-quarter of unresponsive people with brain injuries are conscious,"More people than we thought who are in comas or similar states can hear what is happening around them, a study shows.",Julian Nowogrodzki,14-Aug-24
News,The Taliban said women could study — three years on they still can’t,Afghanistan is the only country in the world that stops its girls and women from attending schools and universities. And the Taliban show no sign of changing that.,Miryam Naddaf,14-Aug-24
News & Views,How the human brain creates cognitive maps of related concepts,"Neural activity in human brains rapidly restructures to reflect hidden relationships needed to adapt to a changing environment. Surprisingly, trial-and-error learning and verbal instruction induce similar changes.","Mitchell Ostrow, Ila Fiete",14-Aug-24
News,Stonehenge’s enigmatic centre stone was hauled 800 kilometres from Scotland,"By assessing the age of ancient crystals, researchers have traced the monument’s greenish Altar Stone to a northern rock basin.","Nisha Gaind, Roff Smith",14-Aug-24
News & Views,How to design a protein that can be switched on and off,"Proteins have been designed that assemble in different ways depending on whether an ‘effector’ molecule is present — a demonstration of allostery, the phenomenon that enables switch-like control of protein functions in nature.",A. Joshua Wand,14-Aug-24
Research Briefing,Stonehenge’s central rock probably came from Scotland,The origins of the stones that make up the ancient monument Stonehenge can provide insights into the connectivity of a Neolithic society in Britain (about 4300 to 2000bc) that otherwise left no written record. The age and chemistry of minerals from the Altar Stone provide a ‘fingerprint’ that traces its origin to sedimentary rocks in Scotland’s Orcadian Basin.,"N, /, A",14-Aug-24
Nature Briefing,Daily briefing: Raising the alarm about the monkeypox virus,"The monkeypox virus is spreading to new countries in central Africa, triggering Africa’s first health emergency. Plus, signs of liquid water deep within Mars and five ways science is tackling the antibiotic resistance crisis.",Flora Graham,14-Aug-24
Career Column,Friends or foes? An academic job search risked damaging our friendship,Chasing the same opportunities tested long-standing alliances. Three researchers explain how they weathered the storm.,"McKenzie Preston, Zachariah Berry, Herrison Chicas",14-Aug-24
Futures,Carousel,Age is just a number.,Liam Hogan,14-Aug-24
Article,Amplification of autoimmune organ damage by NKp46-activated ILC1,N/A,"Stylianos-Iason Biniaris-Georgallis, Tom Aschman, Antigoni Triantafyllopoulou",13-Aug-24
Correspondence,The need for equity in Brazilian scientific funding,N/A,Ricardo da Silva Ribeiro,13-Aug-24
Correspondence,Canadian graduate-salary boost will only go to a select few,N/A,"Asim Biswas, Daniel Saurette",13-Aug-24
News & Views,Why you shouldn’t hire a dune buggy on holiday,"The effect of dune-buggying on wildlife in California’s Mojave desert, and an introduction to X-ray crystallography from one of its founders, in our weekly dip intoNature’s archive.","N, /, A",13-Aug-24
Research Highlight,DNA of child sacrificed in ancient city reveals surprising parentage,"The mother and father of a young child buried at the archaeological site of Paquimé, Mexico, were more closely related to each other than first cousins.","N, /, A",13-Aug-24
Correspondence,A hike of postdoc salary alone will not retain the best researchers in low- or middle-income countries,N/A,Jagadeesh Bayry,13-Aug-24
Correspondence,A hike of postdoc salary alone will not retain the best researchers in low- or middle-income countries,N/A,Jagadeesh Bayry,13-Aug-24
News Feature,Five ways science is tackling the antibiotic resistance crisis,"Humans are locked in an arms race with microbes, but scientists are pursuing diverse approaches to keep one step ahead or slow down the competition.",Amber Dance,13-Aug-24
News,FDA rejects ecstasy as a therapy: what’s next for psychedelics?,"Following the US drug agency’s decision,Natureexamines the outlook for other hallucinogens that are in clinical trials as psychiatric treatments.",Sara Reardon,13-Aug-24
News,Quantum hacking looms — but ultra-secure encryption is ready to deploy,Approval of three quantum-proof algorithms caps eight-year global effort to make the Internet safe from attacks using future computers.,Davide Castelvecchi,13-Aug-24
News,Growing mpox outbreak prompts WHO to declare global health emergency,The Africa Centres for Disease Control and Prevention also issued an emergency declaration as several countries see their first cases of the disease caused by the monkeypox virus.,Max Kozlov,13-Aug-24
News & Views,Weather and climate predicted accurately — without using a supercomputer,A cutting-edge global model of the atmosphere combines machine learning with a numerical model based on the laws of physics. This ‘hybrid’ system accurately predicts the weather — and even shows promise for climate simulations.,Oliver Watt-Meyer,13-Aug-24
Nature Briefing,Daily briefing: Deepfakes hawk fake drugs using scientists’ faces,"Scammers are using images of respected researchers in deepfakes, a setback for the approval of MDMA as a treatment for PTSD and scientists who fled the Taliban speak out.",Flora Graham,13-Aug-24
Editorial,Who is legally responsible for climate harms? The world’s top court will now decide,"The International Court of Justice will clarify states’ legal responsibility for impacts of climate change. Although non-binding, its opinion will matter for thousands of climate lawsuits.","N, /, A",13-Aug-24
Author Correction,Author Correction: Amazon forest biogeography predicts resilience and vulnerability to drought,N/A,"Shuli Chen, Scott C. Stark, Scott R. Saleska",12-Aug-24
Where I Work,Winds of change: reshaping Tenerife’s energy economy,"Guillermo Galván García aims to increase the island’s dependency on clean energy, while mitigating the environmental impact of turbine installations.",Patricia Maia Noronha,12-Aug-24
News & Views,Rare developmental disorder caused by variants in a small RNA gene,"Genetic variants inRNU4-2, a gene in a part of the genome not usually in the spotlight, have been identified as the cause of a developmental disorder in a large number of individuals who previously lacked a diagnosis.",Henrike Heyne,12-Aug-24
Nature Briefing,Daily briefing: Deepest-ever samples from Earth’s mantle,"From the very big to the very small — marvel at the 1,268-metre long sample of rock extracted from below the ocean’s crust, and the unexpected microbiome in our microwave ovens. Plus, the controversy continues in the field of high-pressure superconductors.",Flora Graham,12-Aug-24
Comment,Dismantle ‘zombie’ wildlife protection conventions once their work is done,"Almost 80 years after it was created, the international whaling convention has outlived its usefulness. Ending it could set an example for other organizations.","Peter Bridgewater, Rakhyun E. Kim, Nikolas Sellheim",12-Aug-24
News & Views,Multimodal approach steps up the search for axion insulators,"A cocktail of experiments and theory provides a way of revealing complex patterns in magnetic materials, including some textures that can identify the systems as members of an elusive class known as axion insulators.","Youngjun Ahn, Liuyan Zhao",12-Aug-24
Career Feature,‘Who will protect us from seeing the world’s largest rainforest burn?’ The mental exhaustion faced by climate scientists,"To cope with the emotional toll of working in the field, researchers have developed strategies to help themselves and others.",Meghie Rodrigues,12-Aug-24
News & Views,Are the Cosmic Gems the earliest star clusters ever detected?,"Observations might have uncovered star clusters that existed when the Universe was just 460 million years old. If this timing is accurate, the discovery provides valuable clues about how and when the first stars formed.",Lamiya Mowla,12-Aug-24
Book Review,Silicon Valley is cheerleading the prospect of human–AI hybrids — we should be worried,A pseudo-religion dressed up as technoscience promises human transcendence at the cost of extinction.,Alex Gomez-Marin,12-Aug-24
Research Briefing,New photonic integrated circuits offer high performance and scalable manufacturing,"Electro-optical devices that use wafers of lithium tantalate on an insulator have properties similar or superior to those of state-of-the-art lithium niobate-on-insulator wafers. They can also be made in larger volumes, at lower cost and using existing manufacturing infrastructure.","N, /, A",12-Aug-24
News,Superconductivity paper spurs dispute as field reels from earlier scandal,Whistleblowers raise questions about the processing and sharing of raw data.,Dan Garisto,10-Aug-24
Nature Podcast,ChatGPT has a language problem — but science can fix it,The Large Language Models that power chatbots are known to struggle in languages outside of English — this podcast explores how this challenge can be overcome.,Nick Petrić Howe,09-Aug-24
Nature Video,Why ChatGPT can't handle some languages,In a test of the chatbot's language abilities it fails at certain languages.,Nick Petrić Howe,09-Aug-24
News,Blood test uses ‘protein clock’ to predict risk of Alzheimer’s and other diseases,The clock is effective in people with a range of genetic backgrounds.,Julian Nowogrodzki,09-Aug-24
Futures,How much would you pay for free shipping?,A worldwide web.,Deborah Walker,09-Aug-24
Career Column,Why I’ve removed journal titles from the papers on my CV,Changing how published papers are displayed could shift the focus from simple metrics to research quality.,Adrian Barnett,09-Aug-24
News,The Taliban ‘took my life’ — scientists who fled takeover speak out,Researchers from Afghanistan who found sanctuary around the world following the Taliban takeover in 2021 are struggling to settle in.,Smriti Mallapaty,09-Aug-24
Research Highlight,How expert skateboarders use physics on the half-pipe,"Athletes can achieve greater speed with just the right ‘pumping’ motion, modelling shows.","N, /, A",08-Aug-24
Obituary,Tsung-Dao Lee obituary: boundary-breaking physicist who won Nobel prize at just 30,Visionary researcher helped to overturn the idea that all particles behave in the same way as their mirror images.,Robert P.  Crease,08-Aug-24
News,How the stressed-out brain can weaken the immune system,"Stress leads to disarray of the gut microbiome, which in turn causes inflammation and a drop in the body’s ability to fend off infection.",Sara Reardon,08-Aug-24
World View,The time to act is now: the world’s highest court must weigh in strongly on climate and nature,The International Court of Justice is set to clarify the responsibilities of states to act on global warming. Governments must step up in support — before it’s too late.,Adil   Najam,08-Aug-24
Career News,Why we quit: how ‘toxic management’ and pandemic pressures fuelled disillusionment in higher education,"A survey of former UK academics reveals an uncaring culture characterized by long working hours, despite management rhetoric about well-being.",Adrian O’Dowd,08-Aug-24
News,Deepest-ever samples of rock from Earth’s mantle unveiled,Kilometre-long rock cores leave scientists wanting to know more — just when an international exploration effort is coming to an end.,Davide Castelvecchi,08-Aug-24
News,Your microwave oven has its own microbiome,Survey of bacteria living inside household and laboratory appliances finds a robust ecosystem.,Alix  Soliman,08-Aug-24
News,Famine exposure in the womb doubles diabetes risk decades later,Study of more than ten million people suggests that early gestation is the most vulnerable time to be exposed to malnutrition.,Gemma Conroy,08-Aug-24
Author Correction,Author Correction: Senescent glia link mitochondrial dysfunction and lipid accumulation,N/A,"China N. Byrns, Alexandra E. Perlegos, Nancy M. Bonini",07-Aug-24
Article,A virally-encoded tRNA neutralizes the PARIS antiviral defence system,N/A,"Nathaniel Burman, Svetlana Belukhina, Artem Isaev",07-Aug-24
Research Highlight,Oldest pyramid in Egypt shows signs of hydraulic building technique,The Step Pyramid of Djoser is accompanied by a dam-like structure and a moat.,"N, /, A",07-Aug-24
Research Highlight,Engineered brain parasite ferries useful proteins into neurons,"Microbe found in cat poo could be harnessed to deliver large, complex proteins across the blood–brain barrier.","N, /, A",07-Aug-24
Article,Structure of the human dopamine transporter and mechanisms of inhibition,Cryo-electron microscopy structure of the human dopamine transporter in complex with multiple inhibitors illuminates mechanisms of allosteric inhibition.,"Dushyant Kumar Srivastava, Vikas Navratna, Eric Gouaux",07-Aug-24
Article,Dopamine reuptake and inhibitory mechanisms in human dopamine transporter,Structural analyses of the human dopamine transporter in apo and substrate-bound states and in complex with drugs and inhibitors reveal key binding residues and conformational transitions that occur during substrate transport.,"Yue Li, Xianping Wang, Yan Zhao",07-Aug-24
Article,The ribosome lowers the entropic penalty of protein folding,"Structures of the growing peptide chain on and off the ribosome reveal that the ribosome destabilizes the unfolded nascent chain, promoting the formation of partially folded intermediate states.","Julian O. Streit, Ivana V. Bukvin, John Christodoulou",07-Aug-24
Article,Architecture and activation mechanism of the bacterial PARIS defence system,"The bacterial phage anti-restriction-induced system, PARIS, operates as a toxin–antitoxin system, in which the antitoxin AriA sequesters and inactivates the toxin AriB until triggered by the T7 phage counterdefence protein Ocr.","Amar Deep, Qishan Liang, Kevin D. Corbett",07-Aug-24
Article,DNA-sensing inflammasomes cause recurrent atherosclerotic stroke,This study describes sensing of circulating cell-free DNA after stroke as the mechanism leading to recurrent ischemic events.,"Jiayu Cao, Stefan Roth, Arthur Liesz",07-Aug-24
Article,Glycosphingolipid synthesis mediates immune evasion inKRAS-driven cancer,"Functional genomics and lipidomic analyses reveal that sphingolipid synthesis is required for tumour immune evasion and tumour growth in vivo, mediated in part by the impact of glycosphingolipid synthesis on cell surface expression of IFNγ receptors.","Mariluz Soula, Gokhan Unlu, Kıvanç Birsoy",07-Aug-24
Article,A nebular origin for the persistent radio emission of fast radio bursts,"Observations of a third, less luminous persistent radio source associated with the repeating fast radio burst FRB 20201124A indicate that the burst originates from a young magnetar surrounded by a nebula of ionized gas.","Gabriele Bruni, Luigi Piro, Rosita Paladino",07-Aug-24
Article,Membrane prewetting by condensates promotes tight-junction belt formation,"Experimental and theoretical results demonstrate that tight-junction formation depends on the growth of a condensed layer of ZO-1 proteins at the interface of the apical and lateral membrane, providing insight into self-assembly of complex mesoscale structures in cells.","Karina Pombo-García, Omar Adame-Arana, Alf Honigmann",07-Aug-24
Article,"The genomic landscape of 2,023 colorectal cancers","Whole-genome sequencing of more than 2,000 colorectal carcinoma samples provides a highly detailed view of the genomic landscape of this cancer and identifies new driver mutations.","Alex J. Cornish, Andreas J. Gruber, Richard S. Houlston",07-Aug-24
Article,PTER is aN-acetyltaurine hydrolase that regulates feeding and obesity,The orphan enzyme phosphotriesterase-related (PTER) is identified as a mammalianN-acetyltaurine hydrolase that has roles in regulating body weight and energy balance.,"Wei Wei, Xuchao Lyu, Jonathan Z. Long",07-Aug-24
Article,Coevolution of craton margins and interiors during continental break-up,"By integrating geological observations, statistical analysis, geodynamic simulations and landscape-evolution models, a physical model is proposed to link the coevolution of craton margins and interiors with continental rifting.","Thomas M. Gernon, Thea K. Hincks, Anne Glerum",07-Aug-24
Article,Prognostic genome and transcriptome signatures in colorectal cancers,A large integrated genome and transcriptome analysis of colorectal cancer identifies prognostic mutations and expression subtypes.,"Luís Nunes, Fuqiang Li, Tobias Sjöblom",07-Aug-24
Article,Titration of RAS alters senescent state and influences tumour initiation,Oncogenic RAS dose-escalation models are used to explore how the level of RAS determines whether cells enter a senescent state or have tumour-initiating activity.,"Adelyne S. L. Chan, Haoran Zhu, Masashi Narita",07-Aug-24
Article,Structure of the human dopamine transporter in complex with cocaine,"A study using cryo-electron microscopy has determined the structure of the human dopamine transporter with bound cocaine, revealing molecular details about neurotransmitter transport and how it is affected by neuropsychiatric drugs.","Jeppe C. Nielsen, Kristine Salomon, Claus J. Loland",07-Aug-24
Article,Teosinte Pollen Driveguides maize diversification and domestication by RNAi,An example of hybrid incompatibility between maize and teosinte reveals a selfish toxin–antidote system mediated by small RNAs that may have contributed to the origin of maize.,"Benjamin Berube, Evan Ernst, Robert A. Martienssen",07-Aug-24
Article,Highest ocean heat in four centuries places Great Barrier Reef in danger,High ocean temperatures that caused mass coral bleaching and mortality on the Great Barrier Reef in the past decade are the warmest in 400 years and are the result of human-caused climate change.,"Benjamin J. Henley, Helen V. McGregor, Braddock K. Linsley",07-Aug-24
