Token,Posting List
ai,6 -->19 -->20 -->57 -->61 -->65 -->90 -->139 -->221 -->269 -->292 -->308 -->331 -->332 -->336 -->341 -->367 -->369 -->375 -->385 -->393 -->398 -->456 -->461 -->547 -->563 -->566 -->578 -->622 -->642 -->699 -->719 -->722 -->735 -->765 -->789 -->818 -->824 -->884 -->896 -->920 -->954 -->960 -->970 -->983 -->987 -->988 -->
"ai,",461 -->
ai-generated,332 -->367 -->375 -->
aid,625 -->
aimed,100 -->
aims,255 -->
air,303 -->466 -->854 -->943 -->983 -->
airborne,522 -->
airway,232 -->287 -->510 -->
ais,713 -->
ai’s,8 -->295 -->334 -->
alarm,79 -->152 -->226 -->
algorithm,20 -->
alien,704 -->
alignment,612 -->
alkenes,801 -->
all,60 -->133 -->765 -->787 -->
all-antiferromagnetic,127 -->
allergen-induced,510 -->
allosteric,587 -->
allosterically,126 -->
almost,68 -->139 -->
alone,160 -->
along,514 -->
als-risk,788 -->
also,372 -->
altar,106 -->113 -->117 -->
alternative,499 -->743 -->
alternatives,463 -->
alters,209 -->306 -->
alveolar,519 -->
always,463 -->
alzheimer’s,18 -->81 -->180 -->238 -->354 -->506 -->535 -->578 -->897 -->957 -->
am,572 -->
amazon,85 -->168 -->633 -->750 -->798 -->
ambassadors,704 -->
ambrox,273 -->
america,56 -->
amid,382 -->
ammonia,131 -->
among,470 -->
amounts,967 -->
amplification,155 -->
amplifiers,540 -->671 -->
amputate,631 -->
amygdala,606 -->
amyloid-β,725 -->
an,20 -->76 -->111 -->119 -->139 -->153 -->214 -->271 -->299 -->313 -->314 -->318 -->352 -->411 -->415 -->425 -->439 -->457 -->483 -->499 -->511 -->513 -->518 -->521 -->531 -->534 -->610 -->651 -->678 -->743 -->779 -->795 -->804 -->809 -->907 -->912 -->915 -->921 -->
an-acetyltaurine,206 -->
analogues,755 -->
analysed,6 -->
analyses,661 -->905 -->
anaria’s,704 -->
ancestor,475 -->
ancient,11 -->159 -->225 -->247 -->268 -->327 -->348 -->620 -->740 -->835 -->862 -->867 -->921 -->966 -->993 -->
ancient-ice,467 -->
ancientplasmodiumgenomes,828 -->
and,0 -->1 -->7 -->8 -->16 -->19 -->35 -->36 -->37 -->44 -->53 -->71 -->81 -->82 -->90 -->98 -->99 -->104 -->109 -->115 -->121 -->122 -->129 -->130 -->133 -->142 -->150 -->165 -->168 -->177 -->180 -->188 -->189 -->193 -->197 -->198 -->200 -->206 -->207 -->208 -->209 -->211 -->213 -->229 -->232 -->234 -->240 -->262 -->264 -->267 -->274 -->277 -->278 -->288 -->307 -->309 -->322 -->331 -->337 -->347 -->351 -->385 -->387 -->394 -->396 -->403 -->404 -->424 -->453 -->454 -->470 -->477 -->482 -->495 -->501 -->506 -->507 -->512 -->519 -->521 -->522 -->523 -->535 -->540 -->542 -->551 -->552 -->558 -->559 -->570 -->572 -->577 -->579 -->588 -->590 -->593 -->599 -->600 -->603 -->607 -->608 -->609 -->637 -->639 -->642 -->655 -->661 -->663 -->671 -->672 -->684 -->685 -->708 -->713 -->716 -->727 -->745 -->747 -->748 -->750 -->751 -->753 -->755 -->756 -->760 -->770 -->771 -->775 -->776 -->777 -->788 -->794 -->800 -->801 -->803 -->804 -->809 -->815 -->818 -->825 -->832 -->836 -->841 -->843 -->848 -->860 -->864 -->871 -->876 -->877 -->878 -->892 -->900 -->909 -->918 -->919 -->933 -->935 -->936 -->941 -->948 -->951 -->955 -->958 -->971 -->979 -->989 -->991 -->992 -->997 -->
andcis-regulatory,421 -->
androgens,780 -->
angiogenin,855 -->
animal,463 -->710 -->929 -->
answer,779 -->
answered,997 -->
answers,915 -->
antarctic,544 -->
antarctica,898 -->
anthony,984 -->999 -->
anthropocene:,2 -->
anthropogenic,349 -->
anti-asian,903 -->
anti-bacterial,920 -->
anti-crispr,521 -->610 -->
anti-obesity,536 -->
anti-tigit,71 -->
anti-tumour,541 -->845 -->
antibiotic,161 -->484 -->486 -->
antibiotics,78 -->283 -->
antibodies,731 -->819 -->
antibody,71 -->
antiferromagnetic,520 -->
antigen,103 -->
antimatter,38 -->40 -->
antimicrobial,342 -->
antiviral,194 -->430 -->781 -->
ants,631 -->
anyone,373 -->
anyons,611 -->
anything,713 -->
apart,610 -->871 -->883 -->
ape,370 -->
apex,594 -->
applications,693 -->
appointed,565 -->
approach,173 -->496 -->661 -->
approaches,15 -->
approval,18 -->
apxs,42 -->
arbovirus,352 -->
architecture,118 -->200 -->343 -->672 -->830 -->
archive,467 -->
arcs,23 -->
arctic,302 -->992 -->
are,7 -->36 -->59 -->73 -->77 -->78 -->89 -->102 -->140 -->146 -->175 -->221 -->231 -->256 -->307 -->310 -->312 -->325 -->326 -->329 -->386 -->389 -->407 -->469 -->479 -->480 -->549 -->552 -->648 -->649 -->668 -->702 -->722 -->729 -->752 -->765 -->772 -->775 -->783 -->789 -->812 -->822 -->912 -->981 -->987 -->
area,930 -->
areas,235 -->
aren’t,960 -->
argument,483 -->
ariane,613 -->
aridity,220 -->
arises,446 -->
arm,247 -->
army,296 -->
arose,910 -->
around,475 -->513 -->910 -->
art,597 -->807 -->
artificial,227 -->
as,18 -->88 -->162 -->178 -->224 -->256 -->283 -->313 -->549 -->685 -->814 -->855 -->916 -->924 -->960 -->
asking,953 -->
asks,903 -->
assembled,103 -->
assemblies,126 -->
assembly,441 -->725 -->
assessments,315 -->
assimilation,285 -->
assistance,839 -->
associated,81 -->795 -->
asteroid,107 -->
asthma,224 -->
astray,75 -->
astrocyte,730 -->
astrocytes,608 -->
astronaut,878 -->
astronauts,648 -->
astronomy,398 -->
asymmetric,22 -->273 -->
asymmetries,222 -->
at,26 -->42 -->87 -->99 -->100 -->186 -->255 -->261 -->311 -->319 -->327 -->381 -->383 -->482 -->493 -->515 -->534 -->602 -->603 -->764 -->780 -->783 -->830 -->835 -->912 -->959 -->993 -->
atherosclerotic,201 -->
athletes,331 -->
atlantic,512 -->737 -->
atlantic:,996 -->
atlas,218 -->495 -->523 -->878 -->
atlases,751 -->
atmosphere,558 -->
atmosphere–ocean,833 -->
atmospheric,357 -->837 -->
atom,680 -->
atom-swap,614 -->
atomic,127 -->754 -->
atomic-scale,435 -->950 -->
atoms,489 -->
atp,600 -->625 -->
atpase,666 -->
atrophy,81 -->
attack.,336 -->
attempt,104 -->
attend,408 -->416 -->
attending,784 -->
attosecond,43 -->
attraction,680 -->
attractor,110 -->111 -->
auction,7 -->
audio,322 -->648 -->
aural,575 -->
aurora,732 -->
aurora’,721 -->
author,71 -->112 -->168 -->193 -->239 -->267 -->405 -->470 -->484 -->485 -->486 -->541 -->577 -->579 -->587 -->588 -->724 -->730 -->737 -->781 -->782 -->788 -->817 -->887 -->906 -->918 -->977 -->991 -->
autoimmune,155 -->344 -->731 -->
autoinhibition,848 -->
autologous,119 -->
available,450 -->
avatar,577 -->
aversion,507 -->
averted,392 -->
avian,330 -->
avoid:,403 -->
away,465 -->818 -->
away:,340 -->
axion,173 -->
axis,214 -->318 -->511 -->
b,472 -->
b12,293 -->
back,221 -->236 -->388 -->879 -->
backing,897 -->
backlash,944 -->
backtracking,847 -->
bacteria,363 -->441 -->502 -->517 -->743 -->
bacterial,200 -->293 -->430 -->
bad,407 -->
badgers,16 -->
baffling,809 -->
baishiya,603 -->
balancing,54 -->
ban,382 -->
bang,728 -->738 -->
bank’,915 -->
barrier,212 -->226 -->228 -->
base,517 -->
based,128 -->
basic,242 -->585 -->
basis,120 -->134 -->135 -->351 -->359 -->666 -->
battles,716 -->
"battles,",90 -->
bdq,600 -->
be,14 -->57 -->87 -->96 -->150 -->176 -->246 -->261 -->301 -->336 -->389 -->404 -->548 -->563 -->581 -->644 -->700 -->713 -->719 -->733 -->806 -->871 -->957 -->
beamformer,125 -->
bear,302 -->
beat,404 -->547 -->
beauty:,807 -->
became,83 -->656 -->902 -->
become,480 -->768 -->
bee,98 -->
beef,537 -->
been,139 -->976 -->
beethoven:,225 -->
beetles,288 -->
before,658 -->
behaviour,30 -->471 -->927 -->
behaviours,752 -->875 -->
behind,712 -->807 -->
being,102 -->775 -->
belonged,247 -->
belt,204 -->958 -->
benefits,246 -->546 -->856 -->880 -->897 -->
bernal,748 -->
best,160 -->262 -->639 -->915 -->965 -->989 -->
bet,949 -->
bets,337 -->
better,69 -->245 -->456 -->536 -->713 -->777 -->882 -->
between,65 -->394 -->406 -->850 -->934 -->966 -->
beware,456 -->
bewildering,401 -->
beyond,899 -->
bias,87 -->903 -->
biases,275 -->
bid,397 -->
big,96 -->337 -->399 -->728 -->735 -->738 -->
big-science,949 -->
bigger,972 -->
biggest,144 -->321 -->467 -->802 -->
bilayer,748 -->
billion,108 -->475 -->833 -->
billions,870 -->
bin,474 -->
binagwaho,636 -->
binary:,899 -->
binding,122 -->848 -->
binds,440 -->
biobank,878 -->
biocatalysis,593 -->
biodegrades,444 -->
biodiversity,452 -->670 -->940 -->
biogeography,168 -->750 -->
biolab,56 -->
biological,543 -->
biologist,14 -->264 -->
biologists,316 -->
biology,304 -->538 -->886 -->
bionic,643 -->646 -->
bird,479 -->480 -->550 -->907 -->914 -->
bird-flu,967 -->
birds,805 -->831 -->854 -->
birth,1 -->
bit,250 -->
bite,658 -->867 -->
black,13 -->79 -->89 -->136 -->258 -->513 -->532 -->534 -->561 -->726 -->738 -->979 -->
blackout’,571 -->
block,630 -->820 -->938 -->
blockade,71 -->
blockbuster,658 -->696 -->775 -->
blocked,445 -->
blocking,314 -->415 -->
blood,180 -->238 -->342 -->500 -->661 -->694 -->
bloodlust?,645 -->
blooming,570 -->
blow,532 -->
blowing,786 -->
blowout!,488 -->
blueprints,625 -->
body,230 -->711 -->861 -->
bolsters,67 -->
bond,335 -->
bonds,143 -->
bone,31 -->247 -->516 -->
bones,533 -->
books,98 -->476 -->570 -->663 -->900 -->
boom,301 -->
boost,157 -->387 -->628 -->674 -->690 -->960 -->992 -->
boosts,979 -->
bootcamp,48 -->
boron,693 -->
bose–einstein,995 -->
bot,563 -->
botanists,409 -->469 -->
bottom,299 -->
bound,677 -->728 -->
boundary-breaking,186 -->
bounties’,91 -->
bovine,559 -->
bowel,102 -->
boycotting,785 -->
brain,55 -->81 -->92 -->146 -->148 -->187 -->196 -->245 -->297 -->335 -->353 -->364 -->429 -->446 -->449 -->478 -->495 -->506 -->516 -->523 -->525 -->608 -->626 -->657 -->682 -->706 -->725 -->756 -->816 -->861 -->963 -->964 -->
brains,73 -->702 -->
brainstemdbh+neurons,510 -->
branch,440 -->
brazil,978 -->
brazilian,156 -->
brazil’s,241 -->
bread,121 -->
break,143 -->533 -->561 -->
break-up,207 -->
breakdown,743 -->
breaking,659 -->
breakthrough,74 -->390 -->
breast,333 -->
breast-cancer,230 -->
breastfeeding,533 -->
breath,694 -->
breed,992 -->
breeding,713 -->799 -->
brexit,90 -->
brian,16 -->
bridge,676 -->684 -->
brief,98 -->476 -->570 -->663 -->900 -->
briefing:,17 -->51 -->81 -->91 -->99 -->106 -->152 -->166 -->171 -->327 -->332 -->369 -->391 -->393 -->402 -->408 -->415 -->447 -->461 -->465 -->475 -->479 -->493 -->531 -->547 -->556 -->568 -->575 -->580 -->624 -->642 -->643 -->647 -->650 -->656 -->696 -->721 -->722 -->735 -->772 -->789 -->794 -->805 -->811 -->823 -->852 -->881 -->884 -->892 -->904 -->914 -->957 -->984 -->988 -->
brightest,697 -->
bring,634 -->
briny,586 -->
broad-specificity,743 -->
broadens,143 -->
broken?,692 -->
brought,542 -->
bubble,786 -->
budget,90 -->
budget:,337 -->
buggy,158 -->
build,69 -->307 -->804 -->
builders,5 -->
building,195 -->270 -->802 -->
builds,516 -->819 -->825 -->
built,399 -->
built-up,796 -->
bulbs,61 -->
buried,673 -->
burn?’,174 -->
burst,282 -->
bursts,203 -->300 -->
but,60 -->163 -->182 -->222 -->301 -->320 -->324 -->326 -->370 -->456 -->478 -->562 -->581 -->674 -->710 -->787 -->790 -->853 -->880 -->881 -->885 -->
"but,",713 -->
butterflies,303 -->639 -->888 -->908 -->
by,13 -->29 -->54 -->110 -->112 -->129 -->155 -->170 -->174 -->204 -->211 -->245 -->275 -->345 -->348 -->357 -->387 -->392 -->409 -->411 -->440 -->450 -->489 -->521 -->535 -->545 -->562 -->597 -->599 -->600 -->666 -->714 -->758 -->780 -->826 -->832 -->847 -->883 -->909 -->911 -->963 -->973 -->977 -->
c.,539 -->
cache,920 -->
california,470 -->
call,618 -->
calls,816 -->
cambrian,279 -->
came,151 -->695 -->
camera-carrying,235 -->
can,14 -->15 -->20 -->24 -->53 -->58 -->60 -->63 -->65 -->66 -->69 -->92 -->94 -->140 -->145 -->150 -->182 -->187 -->232 -->248 -->249 -->257 -->272 -->320 -->336 -->386 -->404 -->466 -->468 -->482 -->548 -->561 -->563 -->578 -->581 -->628 -->642 -->762 -->793 -->804 -->806 -->864 -->882 -->886 -->891 -->964 -->980 -->
can't,179 -->
canada,72 -->551 -->
canadian,51 -->157 -->
cancels,412 -->
cancer,9 -->31 -->116 -->137 -->202 -->333 -->356 -->362 -->376 -->459 -->478 -->498 -->514 -->579 -->638 -->661 -->736 -->823 -->864 -->879 -->
cancers,205 -->208 -->581 -->795 -->
cannabis,979 -->
canyon,688 -->
can’t,20 -->53 -->61 -->147 -->
capitol,971 -->
capped,261 -->
capture,431 -->706 -->
capturing,782 -->943 -->
carbene,911 -->
carbon,85 -->239 -->366 -->420 -->431 -->893 -->943 -->
carcinogen,280 -->
card,271 -->
care,242 -->
career,399 -->482 -->651 -->
career-development,804 -->
career.,388 -->
careers,981 -->
caring,73 -->
carousel,154 -->
carriers,128 -->
case,481 -->618 -->819 -->
cash,91 -->95 -->715 -->
cast,563 -->
catalysis,411 -->
catalytic,22 -->273 -->800 -->
catch,301 -->655 -->
catching,95 -->
cattle,330 -->
causal,111 -->
cause,49 -->65 -->201 -->491 -->536 -->578 -->
caused,170 -->863 -->
causes,280 -->571 -->575 -->657 -->819 -->
causing,3 -->
cave,597 -->603 -->
ccp5,440 -->
cd4,356 -->
cd8,505 -->
cdk4/6,887 -->
celebrate,707 -->
cell,32 -->265 -->437 -->505 -->527 -->528 -->827 -->850 -->887 -->
cells,9 -->32 -->54 -->63 -->230 -->232 -->236 -->284 -->296 -->318 -->335 -->356 -->358 -->509 -->511 -->560 -->629 -->647 -->673 -->685 -->686 -->694 -->702 -->749 -->797 -->925 -->
cellular,514 -->756 -->843 -->
cement,383 -->395 -->
cenozoic,670 -->
census,414 -->
centauri,513 -->
central,138 -->151 -->265 -->588 -->
centre,149 -->234 -->493 -->
centuries,212 -->
cern’s,916 -->
certainly,139 -->
chain,844 -->
chains,946 -->
challenge,267 -->334 -->753 -->
chandrayaan-3,42 -->
change,409 -->469 -->470 -->546 -->640 -->724 -->792 -->812 -->847 -->857 -->982 -->
change:,169 -->
change?,915 -->
changed,740 -->
changes,877 -->
changing,331 -->
chang’e-6,990 -->
channel,286 -->
channels,525 -->
chaperonin,29 -->
charge-density-wave,840 -->
charged-sorbents,943 -->
charged-up,303 -->
chatbot,642 -->
chatbots,145 -->
chatbots?,61 -->
chatgpt,145 -->179 -->182 -->400 -->953 -->
cheap,292 -->305 -->
cheaper,772 -->775 -->
cheating,53 -->
cheerleading,176 -->
chemical,143 -->665 -->
chemistry,593 -->614 -->
chemoproteomic,587 -->
chemotherapy,9 -->607 -->
chichén,835 -->
chicxulub,107 -->
child,97 -->159 -->
childhood,134 -->
children,217 -->464 -->
chile’s,84 -->
chimeric,706 -->
chimeroids,682 -->
china,775 -->802 -->885 -->919 -->976 -->
china–us,407 -->
china’s,243 -->266 -->949 -->968 -->990 -->
chinese,958 -->969 -->
chips,987 -->
chiral,23 -->422 -->553 -->681 -->746 -->782 -->
chirality,959 -->
choice,881 -->
choice’,885 -->
choose,651 -->
chromatin,933 -->
chromosome,265 -->370 -->843 -->
chromosomes,494 -->
chronic,505 -->
chronicled,635 -->
chytridiomycosis,679 -->
cicada,503 -->
cicadas,997 -->
circuit,224 -->359 -->
circuitry,956 -->
circuits,177 -->507 -->918 -->
circulation,396 -->
citation,79 -->
cited,269 -->
cities,998 -->
"cities,",570 -->
city,159 -->741 -->
civilian,877 -->
clades,598 -->
class,486 -->
classifies,749 -->
classroom,704 -->
classroom?,953 -->
clearance,32 -->54 -->
clearer,326 -->
clears,649 -->
clerk,786 -->
clicker,251 -->
climate,94 -->165 -->167 -->174 -->188 -->349 -->368 -->369 -->385 -->396 -->490 -->546 -->573 -->640 -->669 -->698 -->724 -->792 -->812 -->853 -->857 -->895 -->915 -->
climate-change,768 -->904 -->
clitoris,771 -->
clock,489 -->
clock’,180 -->
clonal,437 -->
closures,403 -->
clothes,568 -->582 -->
clouds,406 -->
clouds’,256 -->
clout,968 -->
clues,364 -->468 -->530 -->571 -->
clusters,175 -->728 -->890 -->
cns,730 -->
co-dependently,37 -->
co2response,942 -->
co2—,372 -->
coastal,94 -->
coating,392 -->
cobras,240 -->
cocaine,210 -->
code,234 -->440 -->
coding,48 -->
coeliac,344 -->
coevolution,207 -->
cofactor,848 -->
cognitive,148 -->
coherence,290 -->
cohort,438 -->
collaborate,10 -->328 -->
collaboration,628 -->
collaborations,402 -->407 -->958 -->
collapse,341 -->
colleagues,328 -->
collection,868 -->
collects,990 -->
colliculus,612 -->
collider,802 -->
colony,260 -->
colorectal,205 -->208 -->
combat,778 -->
combined,649 -->
combines,770 -->
comes,779 -->
coming,879 -->
coming:,649 -->
command,937 -->
commemorated,381 -->
commit,881 -->885 -->
commitment,63 -->678 -->724 -->
common,475 -->729 -->
communication,377 -->742 -->
communities,94 -->883 -->
companies,944 -->
compartment,119 -->
competition,437 -->942 -->
complete,131 -->
complex,27 -->34 -->116 -->118 -->210 -->485 -->610 -->935 -->
complexes,890 -->
complicating,308 -->
comply?,986 -->
components,265 -->313 -->
composites,485 -->
compost,444 -->
compound,621 -->662 -->781 -->
compounds,142 -->614 -->
comprehension,602 -->
computation,665 -->
computational,755 -->
computer,770 -->987 -->
computers,295 -->
computing,255 -->290 -->
concepts,148 -->
concrete,383 -->
condensates,204 -->
condensation,995 -->
conference,408 -->
"conference,",309 -->
conference:,784 -->
conference?,416 -->
conferences,246 -->310 -->
confirmation,311 -->
confirms,698 -->
conjugate,441 -->
connections,796 -->
connectomic,675 -->
conscious,146 -->646 -->
"conscious,",404 -->
consequences,77 -->
conservation,426 -->
conserve,940 -->
conserved,370 -->
consistent,872 -->
consolidates,606 -->
conspiracies,567 -->
constraints,360 -->
consumer,944 -->
contact,827 -->
contacts,358 -->
contender,391 -->
contenders,497 -->
continental,207 -->
continents,908 -->
continual,33 -->
continuity,470 -->
continuously,124 -->
continuum,514 -->
control,46 -->129 -->141 -->509 -->510 -->521 -->553 -->577 -->667 -->672 -->745 -->937 -->991 -->
controlled,459 -->693 -->
controls,44 -->115 -->834 -->925 -->
conventional,553 -->
conventions,172 -->
conversion,938 -->
convicted,464 -->
cool,136 -->
cooperatively,605 -->
coordinate,405 -->
coordinated,945 -->
coordinates,608 -->
coordination,339 -->
cope?,913 -->
copilot,824 -->
copolymer,938 -->
copy,991 -->
coral,226 -->240 -->
cord,675 -->751 -->763 -->
core,847 -->
cores,898 -->
coronavirus,118 -->
corpuscles,752 -->
correction:,71 -->112 -->168 -->193 -->239 -->267 -->318 -->339 -->470 -->484 -->485 -->486 -->540 -->541 -->576 -->577 -->579 -->587 -->588 -->714 -->724 -->730 -->737 -->780 -->781 -->782 -->788 -->817 -->887 -->905 -->906 -->918 -->977 -->991 -->
correction:legionellaeffector,380 -->
correction:tap63suppresses,405 -->
cortex,35 -->576 -->846 -->
cortical,606 -->
cosmic,175 -->
cost,893 -->916 -->
costs,854 -->
could,137 -->147 -->238 -->261 -->263 -->292 -->295 -->327 -->404 -->480 -->531 -->550 -->627 -->660 -->713 -->733 -->768 -->777 -->802 -->823 -->879 -->883 -->901 -->915 -->980 -->
counterproductive,785 -->
counting,893 -->
countries,160 -->237 -->480 -->880 -->986 -->
country,551 -->
coupled,833 -->
court,167 -->188 -->306 -->707 -->
covalent,587 -->932 -->
cover,532 -->
cover-up,984 -->999 -->
covid,93 -->413 -->481 -->565 -->766 -->892 -->984 -->999 -->
covid-vaccine,823 -->
covid?,819 -->
covid–flu,649 -->
cow,468 -->
cows,914 -->967 -->
crabs,404 -->
cracked,102 -->
craft,868 -->
craig,333 -->
craton,207 -->
create,0 -->650 -->658 -->
created,775 -->
creates,148 -->393 -->
creatures,654 -->
crew,877 -->
cricket’:,907 -->
crisis,161 -->552 -->640 -->787 -->853 -->
crisis:,621 -->
crispr,322 -->442 -->628 -->852 -->860 -->864 -->870 -->
crispr:,659 -->
crispr–cas,120 -->610 -->
criticism,261 -->
criticizes,916 -->
crocodile,114 -->
crop,870 -->
crown-group,929 -->
crushing,654 -->
crustal,285 -->
cryo-electron,29 -->
cryo-em,343 -->
cryoet,506 -->
crystal,849 -->
crystals,423 -->
ctla-4-expressing,829 -->
cuban,900 -->
cubes,963 -->
culprit,812 -->
cultivation,347 -->
cultural,719 -->
culture,345 -->567 -->
culture-free,342 -->
curbed,971 -->
cure,83 -->852 -->
cures,864 -->
curie,253 -->
cut,6 -->295 -->
cuts,3 -->248 -->
cutting-edge,987 -->
cv,183 -->561 -->
cxcl13+t,318 -->511 -->
cyberattacks,822 -->
cycle,45 -->887 -->
cyclization,273 -->
cyclones,545 -->
cytomegalovirus,922 -->
cytotoxic,356 -->
d,121 -->
dad’s,955 -->
daily,17 -->51 -->81 -->91 -->99 -->106 -->152 -->166 -->171 -->327 -->332 -->369 -->391 -->402 -->408 -->415 -->447 -->465 -->475 -->479 -->493 -->531 -->556 -->568 -->575 -->580 -->624 -->643 -->647 -->650 -->656 -->696 -->721 -->735 -->772 -->794 -->805 -->811 -->823 -->852 -->881 -->882 -->892 -->904 -->914 -->957 -->984 -->
dairy,330 -->
damage,92 -->155 -->222 -->320 -->413 -->832 -->836 -->
damaging,153 -->842 -->
danger,212 -->
dark,89 -->569 -->
dashed,100 -->
data,252 -->332 -->341 -->367 -->375 -->400 -->884 -->920 -->998 -->
data-sharing,618 -->
date,68 -->
date.,474 -->
dating,966 -->
dawn,11 -->
day,233 -->718 -->
days,886 -->
days-old,335 -->
de,126 -->491 -->
deactivation,455 -->
dead,32 -->
deadliest,56 -->
deadly,627 -->657 -->
deal,589 -->
death,458 -->527 -->528 -->
deaths,794 -->
debate,18 -->
debut,566 -->
decades,192 -->898 -->
decide,167 -->
decision,707 -->
decisions,275 -->
declare,164 -->
decline,407 -->
declines,638 -->
decoding,577 -->
decoy,86 -->
dedicated,666 -->
deep,33 -->285 -->598 -->664 -->694 -->898 -->
"deep,",348 -->
deep-sea,654 -->698 -->
deeper,512 -->
deepest-ever,171 -->190 -->
deepfake,221 -->
deepfakes,166 -->
deepmind,334 -->
defeat,562 -->
defence,31 -->194 -->200 -->430 -->
define,236 -->
definition,2 -->592 -->
deforestation,633 -->
deformation,440 -->
degradation,595 -->
degraded,426 -->
delay,63 -->414 -->
delay:,564 -->
delays,43 -->
delicate,888 -->
deliver,553 -->998 -->
delivery,496 -->
demand,585 -->
dementia’s,578 -->
democracy,972 -->
demoted,368 -->
dendritic,509 -->
denied,913 -->
